CraigsList,Zip,ZipName
http://chicago.craigslist.org/,46303,Zip46303
http://chicago.craigslist.org/,46307,Zip46307
http://chicago.craigslist.org/,46311,Zip46311
http://chicago.craigslist.org/,46312,Zip46312
http://chicago.craigslist.org/,46319,Zip46319
http://chicago.craigslist.org/,46320,Zip46320
http://chicago.craigslist.org/,46321,Zip46321
http://chicago.craigslist.org/,46322,Zip46322
http://chicago.craigslist.org/,46323,Zip46323
http://chicago.craigslist.org/,46324,Zip46324
http://chicago.craigslist.org/,46327,Zip46327
http://chicago.craigslist.org/,46349,Zip46349
http://chicago.craigslist.org/,46356,Zip46356
http://chicago.craigslist.org/,46373,Zip46373
http://chicago.craigslist.org/,46375,Zip46375
http://chicago.craigslist.org/,46376,Zip46376
http://chicago.craigslist.org/,46377,Zip46377
http://chicago.craigslist.org/,46379,Zip46379
http://chicago.craigslist.org/,46381,Zip46381
http://chicago.craigslist.org/,46394,Zip46394
http://chicago.craigslist.org/,46402,Zip46402
http://chicago.craigslist.org/,46403,Zip46403
http://chicago.craigslist.org/,46404,Zip46404
http://chicago.craigslist.org/,46405,Zip46405
http://chicago.craigslist.org/,46406,Zip46406
http://chicago.craigslist.org/,46407,Zip46407
http://chicago.craigslist.org/,46408,Zip46408
http://chicago.craigslist.org/,46409,Zip46409
http://chicago.craigslist.org/,46410,Zip46410
